,nome,filtro,minucias,nfiq,nfiq2,qmap
234,s1355_05[BINA].png.min,Binary,108,1,48,0.7216796875
235,s1326_07[TRUC].png.min,Trunc,130,4,11,0.695556640625
236,f1352_08[TRUC].png.min,Trunc,128,2,31,0.821044921875
237,s1303_10[TOZI].png.min,Thresh to Zero Invert,172,2,47,1.31787109375
238,f1389_08[TZER].png.min,Thresh to Zero,90,4,28,1.540771484375
239,s1301_05[TRUC].png.min,Trunc,91,2,20,2.467041015625
240,f1470_09[TOZI].png.min,Thresh to Zero Invert,219,4,28,1.95751953125
241,s1455_03[TOZI].png.min,Thresh to Zero Invert,217,1,43,1.630859375
242,s1304_06[BINV].png.min,Binary Invert,53,2,27,2.623046875
243,f1429_06[TRUC].png.min,Trunc,201,5,21,1.7705078125
244,s1264_05[TOZI].png.min,Thresh to Zero Invert,266,3,14,2.19775390625
245,s1475_09[TZER].png.min,Thresh to Zero,131,1,41,0.548583984375
246,s1378_08[TRUC].png.min,Trunc,144,3,19,0.210205078125
247,s1397_06[TOZI].png.min,Thresh to Zero Invert,126,2,51,1.726318359375
248,s1323_03[BINA].png.min,Binary,126,3,36,2.9375
249,f1293_06[BINV].png.min,Binary Invert,67,3,22,2.863037109375
250,s1374_04[BINA].png.min,Binary,111,3,31,0.064208984375
251,f1284_05[BINV].png.min,Binary Invert,0,5,15,2.1259765625
252,f1335_08.png.min,No Filter,103,3,38,2.444580078125
253,f1443_03[BINV].png.min,Binary Invert,136,3,31,0.55810546875
254,f1409_06[TZER].png.min,Thresh to Zero,98,2,50,2.438232421875
255,f1486_03[BINV].png.min,Binary Invert,74,2,41,0.66650390625
256,f1432_03[TRUC].png.min,Trunc,186,3,23,1.503662109375
257,f1347_09[TRUC].png.min,Trunc,184,3,31,0.46826171875
258,s1390_07[BINA].png.min,Binary,11,1,44,2.676513671875
259,f1427_10[TZER].png.min,Thresh to Zero,83,1,52,2.69189453125
260,s1494_04[BINA].png.min,Binary,90,2,7,2.39404296875
261,s1365_07[BINV].png.min,Binary Invert,85,3,43,1.59375
262,s1412_04.png.min,No Filter,88,5,13,1.35205078125
263,f1382_08[TZER].png.min,Thresh to Zero,18,2,53,1.444091796875
264,f1335_08[TRUC].png.min,Trunc,93,5,4,0.693603515625
265,s1385_06[TRUC].png.min,Trunc,109,4,3,1.797607421875
266,f1279_08.png.min,No Filter,158,3,18,1.546875
267,s1412_04[BINA].png.min,Binary,14,2,40,2.39453125
268,f1443_03[TZER].png.min,Thresh to Zero,141,3,36,1.230712890625
269,f1299_07[TZER].png.min,Thresh to Zero,22,3,35,0.020263671875
270,s1478_07[BINA].png.min,Binary,107,3,12,1.962890625
271,f1389_08.png.min,No Filter,107,2,49,1.88330078125
272,s1464_10[BINV].png.min,Binary Invert,39,2,43,1.896240234375
273,f1468_09[TZER].png.min,Thresh to Zero,84,3,51,0.296142578125
274,f1282_01[TZER].png.min,Thresh to Zero,134,5,14,0.443359375
275,f1485_05[TOZI].png.min,Thresh to Zero Invert,207,3,17,2.04052734375
276,f1440_05.png.min,No Filter,122,3,15,2.927490234375
277,f1271_08[TOZI].png.min,Thresh to Zero Invert,190,1,50,1.107666015625
278,f1371_08[BINV].png.min,Binary Invert,64,4,19,2.02099609375
279,s1446_03[TZER].png.min,Thresh to Zero,81,2,44,1.61572265625
280,s1381_01[BINA].png.min,Binary,93,4,4,2.784912109375
281,s1373_10[BINV].png.min,Binary Invert,77,3,39,0.666015625
282,s1373_10.png.min,No Filter,92,2,45,2.919677734375
283,s1252_07[TRUC].png.min,Trunc,104,2,58,2.458984375
284,f1356_02[BINA].png.min,Binary,79,3,25,1.416748046875
285,s1363_08[TZER].png.min,Thresh to Zero,86,5,44,0.11865234375
286,s1258_09[TRUC].png.min,Trunc,62,2,43,2.373046875
287,f1404_09[TRUC].png.min,Trunc,73,3,19,2.418212890625
288,f1481_02[TRUC].png.min,Trunc,102,2,11,1.856689453125
289,s1471_01[TOZI].png.min,Thresh to Zero Invert,293,3,17,1.08935546875
290,s1278_06.png.min,No Filter,106,4,14,1.552001953125
291,s1470_09[TOZI].png.min,Thresh to Zero Invert,237,3,29,0.686279296875
292,s1490_08[TRUC].png.min,Trunc,143,3,30,2.187255859375
293,f1386_01.png.min,No Filter,103,4,2,1.968994140625
294,f1258_09.png.min,No Filter,117,2,56,2.13818359375
295,f1259_08[BINV].png.min,Binary Invert,50,4,5,0.324462890625
