,nome,filtro,minucias,nfiq,nfiq2
283,s0447_01[BINV].png.min,Binary Invert,143,2,44
284,s0497_05[TOZI].png.min,Thresh to Zero Invert,170,2,29
285,s0288_01[BINA].png.min,Binary,84,1,48
286,s0405_02[TOZI].png.min,Thresh to Zero Invert,234,5,11
287,f0474_06[BINV].png.min,Binary Invert,89,1,36
288,f0396_09[BINV].png.min,Binary Invert,85,3,30
289,f0446_01[TZER].png.min,Thresh to Zero,116,3,5
290,f0330_08[BINV].png.min,Binary Invert,114,1,55
291,s0414_01[TRUC].png.min,Trunc,140,2,37
292,s0325_06.png.min,No Filter,96,2,38
293,s0328_09[TOZI].png.min,Thresh to Zero Invert,277,1,49
294,s0479_07[TOZI].png.min,Thresh to Zero Invert,241,1,51
295,s0262_05[TRUC].png.min,Trunc,69,2,50
296,s0352_09[TOZI].png.min,Thresh to Zero Invert,239,2,49
297,f0358_09[BINA].png.min,Binary,137,4,32
298,f0372_07.png.min,No Filter,104,3,19
299,f0292_04[TRUC].png.min,Trunc,123,2,30
300,s0359_03.png.min,No Filter,186,2,40
301,s0330_08[TRUC].png.min,Trunc,222,2,42
302,f0391_01.png.min,No Filter,104,5,30
303,f0307_05[TRUC].png.min,Trunc,76,2,52
304,s0465_08[TRUC].png.min,Trunc,16,4,20
305,f0482_08[BINV].png.min,Binary Invert,105,2,52
306,s0302_01[TRUC].png.min,Trunc,34,4,11
307,f0347_02[TOZI].png.min,Thresh to Zero Invert,199,4,12
308,s0324_04.png.min,No Filter,120,2,36
309,f0382_01[BINV].png.min,Binary Invert,91,4,15
310,s0489_04[TRUC].png.min,Trunc,135,3,13
311,f0251_05.png.min,No Filter,119,1,47
312,s0307_05[TZER].png.min,Thresh to Zero,70,1,46
313,f0452_06[TZER].png.min,Thresh to Zero,152,1,41
314,f0412_07.png.min,No Filter,177,2,21
315,s0386_02[BINA].png.min,Binary,17,3,24
316,f0293_01[BINV].png.min,Binary Invert,88,3,16
317,f0363_10[TOZI].png.min,Thresh to Zero Invert,144,4,18
318,s0418_02[TRUC].png.min,Trunc,93,2,45
319,s0415_04[BINV].png.min,Binary Invert,78,5,4
320,f0454_04[TZER].png.min,Thresh to Zero,126,2,37
321,s0369_04[BINA].png.min,Binary,70,1,47
322,s0277_05[TOZI].png.min,Thresh to Zero Invert,176,1,41
323,f0252_01[BINA].png.min,Binary,61,3,31
324,f0376_01[BINV].png.min,Binary Invert,131,2,38
325,s0279_06[BINV].png.min,Binary Invert,26,3,40
326,f0473_01[TZER].png.min,Thresh to Zero,142,1,45
327,s0252_01[TRUC].png.min,Trunc,112,1,39
328,f0280_02[TOZI].png.min,Thresh to Zero Invert,159,2,33
329,f0406_04[BINA].png.min,Binary,101,3,35
330,s0440_08[BINV].png.min,Binary Invert,46,4,9
331,f0254_08[BINV].png.min,Binary Invert,142,5,3
332,f0304_08[BINA].png.min,Binary,69,2,43
333,f0443_06[BINV].png.min,Binary Invert,86,1,52
334,s0314_04[TOZI].png.min,Thresh to Zero Invert,91,4,6
335,s0378_05[BINV].png.min,Binary Invert,67,2,24
336,f0285_08[BINA].png.min,Binary,17,4,28
337,f0313_08[BINA].png.min,Binary,111,2,49
338,f0274_05[TRUC].png.min,Trunc,105,3,16
339,f0337_08[TZER].png.min,Thresh to Zero,66,2,21
340,f0281_04[TOZI].png.min,Thresh to Zero Invert,244,4,22
341,f0310_05.png.min,No Filter,146,3,32
342,f0487_02[BINV].png.min,Binary Invert,148,1,58
343,s0437_04[TRUC].png.min,Trunc,109,1,54
344,f0420_09.png.min,No Filter,128,2,21
345,s0364_03.png.min,No Filter,99,3,11
346,s0314_04[TZER].png.min,Thresh to Zero,79,2,49
347,f0320_10[BINV].png.min,Binary Invert,65,2,45
348,s0464_06[BINV].png.min,Binary Invert,141,3,32
349,s0406_04[BINA].png.min,Binary,40,2,23
350,f0497_05[TZER].png.min,Thresh to Zero,73,5,19
351,s0407_09[TZER].png.min,Thresh to Zero,52,1,46
352,s0347_02[TOZI].png.min,Thresh to Zero Invert,247,5,15
353,f0376_01[TOZI].png.min,Thresh to Zero Invert,277,3,24
354,s0413_01.png.min,No Filter,171,4,30
355,f0495_05[TOZI].png.min,Thresh to Zero Invert,200,5,29
356,s0495_05[TRUC].png.min,Trunc,179,3,8
357,f0443_06[TOZI].png.min,Thresh to Zero Invert,283,5,6
358,f0370_02.png.min,No Filter,76,3,47
359,f0388_06[TRUC].png.min,Trunc,143,2,47
360,s0439_02[TOZI].png.min,Thresh to Zero Invert,294,2,45
361,f0357_07[TRUC].png.min,Trunc,43,4,13
362,f0409_05[TZER].png.min,Thresh to Zero,139,4,15
363,f0408_01.png.min,No Filter,120,2,42
364,f0436_09[TZER].png.min,Thresh to Zero,203,4,42
365,f0385_07[BINA].png.min,Binary,107,3,23
366,f0326_07[BINA].png.min,Binary,94,3,2
367,s0399_02[TOZI].png.min,Thresh to Zero Invert,191,3,50
368,s0394_07[BINA].png.min,Binary,79,3,34
369,f0260_02[TOZI].png.min,Thresh to Zero Invert,231,4,19
370,f0482_08.png.min,No Filter,143,2,52
371,s0396_09[BINA].png.min,Binary,16,3,30
372,s0299_06[TZER].png.min,Thresh to Zero,124,2,49
373,s0297_01[BINV].png.min,Binary Invert,145,3,24
374,f0347_02[BINV].png.min,Binary Invert,86,3,26
375,s0381_01.png.min,No Filter,98,2,50
376,f0443_06[BINA].png.min,Binary,85,3,255
377,s0376_01[TRUC].png.min,Trunc,208,3,0
378,f0402_01[TRUC].png.min,Trunc,84,3,34
379,s0386_02.png.min,No Filter,166,2,14
380,f0489_04[BINV].png.min,Binary Invert,96,2,40
381,s0390_09.png.min,No Filter,136,3,38
382,s0472_07[BINV].png.min,Binary Invert,110,1,47
383,f0496_03[BINA].png.min,Binary,81,4,9
384,f0465_08[BINV].png.min,Binary Invert,121,3,31
385,s0292_04[BINV].png.min,Binary Invert,44,3,42
386,s0398_03[TOZI].png.min,Thresh to Zero Invert,261,2,54
387,f0297_01.png.min,No Filter,162,3,18
388,f0255_05.png.min,No Filter,167,5,19
389,f0496_03[TOZI].png.min,Thresh to Zero Invert,175,2,37
390,s0288_01[BINV].png.min,Binary Invert,89,5,19
391,s0487_02.png.min,No Filter,157,1,45
392,f0325_06[TOZI].png.min,Thresh to Zero Invert,217,5,12
393,f0433_03.png.min,No Filter,167,1,42
394,f0257_07.png.min,No Filter,138,1,51
395,f0295_07[BINA].png.min,Binary,75,4,14
396,f0367_08[TZER].png.min,Thresh to Zero,93,2,41
397,s0500_02.png.min,No Filter,128,3,44
398,f0309_05[TZER].png.min,Thresh to Zero,105,4,20
399,f0398_03[TOZI].png.min,Thresh to Zero Invert,267,1,50
400,f0280_02[TRUC].png.min,Trunc,87,2,35
401,f0493_01[TOZI].png.min,Thresh to Zero Invert,211,2,35
402,s0390_09[BINV].png.min,Binary Invert,63,4,13
403,f0266_04[TOZI].png.min,Thresh to Zero Invert,226,2,52
404,s0282_03.png.min,No Filter,119,2,46
405,f0259_10[BINA].png.min,Binary,64,3,34
406,f0475_03[TOZI].png.min,Thresh to Zero Invert,105,1,43
407,f0461_03[BINV].png.min,Binary Invert,96,1,39
408,f0325_06.png.min,No Filter,109,5,11
409,s0424_03[TZER].png.min,Thresh to Zero,62,2,38
410,s0251_05[TRUC].png.min,Trunc,118,2,50
411,s0309_05[BINV].png.min,Binary Invert,102,3,36
412,f0387_04.png.min,No Filter,125,4,34
413,s0365_07[TOZI].png.min,Thresh to Zero Invert,261,1,38
414,f0266_04[BINA].png.min,Binary,20,4,36
415,s0254_08[BINA].png.min,Binary,118,2,45
416,f0416_06[TZER].png.min,Thresh to Zero,88,4,2
417,f0289_01[BINA].png.min,Binary,138,2,47
418,f0297_01[TZER].png.min,Thresh to Zero,107,2,45
419,s0406_04[TRUC].png.min,Trunc,174,2,52
420,s0367_08[TOZI].png.min,Thresh to Zero Invert,179,4,11
421,f0402_01[TZER].png.min,Thresh to Zero,83,3,24
422,s0339_05[TZER].png.min,Thresh to Zero,45,1,47
423,s0317_05[TZER].png.min,Thresh to Zero,44,3,29
424,f0361_06[TOZI].png.min,Thresh to Zero Invert,266,3,38
425,s0273_09[BINA].png.min,Binary,9,3,22
426,s0487_02[TZER].png.min,Thresh to Zero,143,2,20
427,f0437_04[BINV].png.min,Binary Invert,125,3,30
428,f0344_06[BINV].png.min,Binary Invert,56,5,18
429,s0304_08[BINV].png.min,Binary Invert,90,1,39
430,f0328_09[TZER].png.min,Thresh to Zero,9,3,30
431,f0282_03[BINA].png.min,Binary,74,1,47
432,s0311_03[BINA].png.min,Binary,130,5,3
433,s0356_02[TOZI].png.min,Thresh to Zero Invert,245,2,15
434,s0454_04[TOZI].png.min,Thresh to Zero Invert,230,4,30
435,s0495_05[TOZI].png.min,Thresh to Zero Invert,191,5,25
436,f0489_04.png.min,No Filter,202,3,26
437,f0492_02[BINA].png.min,Binary,103,4,9
438,f0357_07[TZER].png.min,Thresh to Zero,103,3,19
439,s0453_08[TZER].png.min,Thresh to Zero,121,2,49
440,f0311_03[TRUC].png.min,Trunc,89,4,4
441,s0257_07[BINA].png.min,Binary,48,1,42
442,s0450_10[BINA].png.min,Binary,112,3,31
443,f0301_02[TOZI].png.min,Thresh to Zero Invert,222,5,18
444,s0450_10[TOZI].png.min,Thresh to Zero Invert,136,2,42
445,s0456_06[TZER].png.min,Thresh to Zero,130,4,6
446,s0358_09[TOZI].png.min,Thresh to Zero Invert,187,1,53
447,f0412_07[TZER].png.min,Thresh to Zero,150,2,34
